Datetime,Discharge
2019-06-16 07:00,4130
2019-06-16 07:15,4070
2019-06-16 07:30,4110
2019-06-16 07:45,4110
2019-06-16 08:00,4070
2019-06-16 08:15,4140
2019-06-16 08:30,4040
2019-06-16 08:45,4160
2019-06-16 09:00,4110
2019-06-16 09:15,4130
2019-06-16 09:30,4110
2019-06-16 09:45,4160
2019-06-16 10:00,4170
2019-06-16 10:15,4170
2019-06-16 10:30,4170
2019-06-16 10:45,4220
2019-06-16 11:00,4190
2019-06-16 11:15,4190
2019-06-16 11:30,4200
2019-06-16 11:45,4240
2019-06-16 12:00,4140
2019-06-16 12:15,4140
2019-06-16 12:30,4240
2019-06-16 12:45,4220
2019-06-16 13:00,4240
2019-06-16 13:15,4250
2019-06-16 13:30,4240
2019-06-16 13:45,4240
2019-06-16 14:00,4240
2019-06-16 14:15,4310
2019-06-16 14:30,4270
2019-06-16 14:45,4270
2019-06-16 15:00,4300
2019-06-16 15:15,4280
2019-06-16 15:30,4280
2019-06-16 15:45,4250
2019-06-16 16:00,4230
2019-06-16 16:15,4270
2019-06-16 16:30,4220
2019-06-16 16:45,4220
2019-06-16 17:00,4230
2019-06-16 17:15,4250
2019-06-16 17:30,4230
2019-06-16 17:45,4230
2019-06-16 18:00,4220
2019-06-16 18:15,4230
2019-06-16 18:30,4220
2019-06-16 18:45,4220
2019-06-16 19:00,4140
2019-06-16 19:15,4160
2019-06-16 19:30,4140
2019-06-16 19:45,4190
2019-06-16 20:00,4160
2019-06-16 20:15,4190
2019-06-16 20:30,4170
2019-06-16 20:45,4170
2019-06-16 21:00,4200
2019-06-16 21:15,4190
2019-06-16 21:30,4140
2019-06-16 21:45,4110
2019-06-16 22:00,4160
2019-06-16 22:15,4170
2019-06-16 22:30,4120
2019-06-16 22:45,4090
2019-06-16 23:00,4120
2019-06-16 23:15,4020
2019-06-16 23:30,4080
2019-06-16 23:45,4080
2019-06-17 00:00,4050
2019-06-17 00:15,4060
2019-06-17 00:30,4060
2019-06-17 00:45,4030
2019-06-17 01:00,3970
2019-06-17 01:15,4060
